Date,Open,High,Low,Close,Adj Close,Volume,3days_before_change
2015-08-05,13.060000,13.310000,10.400000,10.770000,10.770000,14096900,1.0642292490118577
2015-08-06,11.000000,11.200000,8.230000,8.770000,8.770000,3570400,0.8958120531154239
2015-08-07,9.190000,10.200000,8.770000,10.140000,10.140000,1623800,0.9797101449275363
2015-08-10,10.730000,10.730000,10.000000,10.120000,10.120000,435900,1.0
2015-08-11,10.000000,10.030000,9.500000,9.790000,9.790000,349700,0.9750996015936255
2015-08-12,9.680000,10.400000,9.653000,10.350000,10.350000,498200,1.0217176702862782
2015-08-13,10.070000,10.338000,10.050000,10.120000,10.120000,397500,0.9882812499999999
2015-08-14,10.010000,10.170000,9.730000,10.040000,10.040000,410600,0.9356943150046597
2015-08-17,10.040000,10.260000,9.960000,10.130000,10.130000,346000,0.9629277566539926
2015-08-18,10.000000,10.340000,10.000000,10.240000,10.240000,277700,1.0343434343434343
2015-08-19,10.300000,11.030000,10.173000,10.730000,10.730000,573000,1.1713973799126638
2015-08-20,10.550000,10.740000,10.000000,10.520000,10.520000,321400,1.0626262626262626
2015-08-21,10.200000,10.560000,9.810000,9.900000,9.900000,394900,0.9183673469387756
2015-08-24,9.390000,9.390000,8.500000,9.160000,9.160000,1052300,0.8327272727272728
2015-08-25,9.680000,10.210000,9.650000,9.900000,9.900000,834000,0.8519793459552497
2015-08-26,10.030000,10.800000,9.990000,10.780000,10.780000,791000,0.9074074074074073
2015-08-27,10.910000,11.140000,10.830000,11.000000,11.000000,569400,0.927487352445194
2015-08-28,11.180000,11.850000,10.950000,11.620000,11.620000,450500,1.002588438308887
2015-08-31,11.860000,12.240000,11.400000,11.880000,11.880000,617300,1.0206185567010309
2015-09-01,11.490000,12.000000,11.250000,11.860000,11.860000,745700,1.0259515570934254
2015-09-02,12.000000,12.150000,10.500000,11.590000,11.590000,510100,1.0034632034632034
2015-09-03,11.480000,11.900000,11.100000,11.640000,11.640000,219800,1.0219490781387182
2015-09-04,11.560000,11.630000,11.030000,11.560000,11.560000,171500,0.988879384088965
2015-09-08,12.000000,12.000000,10.910000,11.550000,11.550000,709000,1.0043478260869565
2015-09-09,11.750000,11.900000,11.150000,11.390000,11.390000,334800,1.0124444444444445
2015-09-10,11.440000,11.870000,11.440000,11.690000,11.690000,368600,1.0174064403829417
2015-09-11,11.500000,11.690000,11.250000,11.500000,11.500000,427300,1.0167992926613616
2015-09-14,11.410000,11.510000,10.940000,11.250000,11.250000,405500,0.9868421052631579
2015-09-15,11.180000,11.495000,11.000000,11.490000,11.490000,346700,0.9922279792746114
2015-09-16,11.400000,11.500000,11.000000,11.310000,11.310000,323100,0.9633730834752982
2015-09-17,11.240000,11.640000,11.240000,11.400000,11.400000,314400,1.0008779631255487
2015-09-18,11.300000,11.900000,11.110000,11.580000,11.580000,1343300,1.0517711171662125
2015-09-21,11.690000,11.900000,11.330000,11.740000,11.740000,299600,1.086031452358927
2015-09-22,11.600000,11.900000,11.250000,11.390000,11.390000,432000,1.0233602875112309
2015-09-23,11.750000,11.750000,10.970000,11.010000,11.010000,287000,1.0944333996023856
2015-09-24,10.880000,11.000000,10.740000,10.810000,10.810000,268600,1.1019367991845057
2015-09-25,10.880000,11.320000,10.790000,11.130000,11.130000,351600,1.0732883317261332
2015-09-28,11.040000,11.340000,10.010000,10.060000,10.060000,590300,0.9766990291262135
2015-09-29,10.140000,10.430000,9.530000,9.810000,9.810000,1040800,0.933396764985728
2015-09-30,9.900000,10.740000,9.710000,10.370000,10.370000,3454500,0.972795497185741
2015-10-01,10.380000,11.080000,9.980000,10.300000,10.300000,491900,0.9321266968325792
2015-10-02,10.130000,10.690000,9.940000,10.510000,10.510000,288300,0.9392314566577301
2015-10-05,10.710000,10.970000,10.510000,10.660000,10.660000,290300,0.9359086918349429
2015-10-06,10.650000,11.230000,10.640000,11.050000,11.050000,337200,0.9813499111900533
2015-10-07,11.080000,11.470000,10.570000,11.190000,11.190000,448100,1.0380333951762524
2015-10-08,11.290000,11.410000,11.000000,11.390000,11.390000,137900,1.0654817586529468
2015-10-09,11.420000,11.600000,11.220000,11.260000,11.260000,183600,1.048417132216015
2015-10-12,11.310000,11.310000,10.750000,10.780000,10.780000,144300,1.0169811320754716
2015-10-13,10.670000,10.930000,10.580000,10.690000,10.690000,156700,1.0338491295938104
2015-10-14,10.650000,10.960000,10.540000,10.740000,10.740000,196300,1.0948012232415902
2015-10-15,10.850000,11.000000,10.360000,10.600000,10.600000,265800,1.1157894736842104
2015-10-16,10.680000,10.700000,10.310000,10.340000,10.340000,157900,1.156599552572707
2015-10-19,10.280000,10.340000,9.650000,9.810000,9.810000,338400,1.102247191011236
2015-10-20,9.810000,9.850000,9.480000,9.500000,9.500000,219400,1.0462555066079295
2015-10-21,9.500000,9.570000,8.520000,8.940000,8.940000,597300,0.9706840390879478
2015-10-22,9.030000,9.190000,8.810000,8.900000,8.900000,605400,0.9845132743362833
2015-10-23,8.840000,9.340000,8.834000,9.080000,9.080000,398500,0.9639065817409767
2015-10-26,9.030000,9.230000,8.900000,9.210000,9.210000,168800,1.0336700336700337
2015-10-27,9.130000,9.400000,8.890000,9.040000,9.040000,260300,1.2199730094466936
2015-10-28,9.050000,9.435000,9.050000,9.420000,9.420000,208100,1.279891304347826
2015-10-29,9.220000,9.390000,8.880000,8.910000,8.910000,214300,1.184840425531915
2015-10-30,8.810000,8.830000,7.000000,7.410000,7.410000,2015100,0.9610894941634242
2015-11-02,7.370000,7.580000,7.110000,7.360000,7.360000,603200,0.9120198265179678
2015-11-03,7.370000,7.700000,7.190000,7.520000,7.520000,851700,0.9616368286445012
2015-11-04,7.680000,7.920000,7.500000,7.710000,7.710000,754300,0.9974126778783958
2015-11-05,7.800000,8.110000,7.720000,8.070000,8.070000,307600,1.110041265474553
2015-11-06,8.020000,8.100000,7.570000,7.820000,7.820000,293600,1.1187410586552218
2015-11-09,8.290000,8.290000,7.550000,7.730000,7.730000,199000,1.1747720364741643
2015-11-10,7.670000,7.930000,7.250000,7.270000,7.270000,394700,0.9945280437756497
2015-11-11,7.240000,7.450000,6.870000,6.990000,6.990000,536300,0.9985714285714286
2015-11-12,6.990000,6.990000,6.360000,6.580000,6.580000,505400,0.9791666666666667
2015-11-13,6.390000,7.930000,6.390000,7.310000,7.310000,989200,1.116030534351145
2015-11-16,7.400000,7.400000,6.840000,7.000000,7.000000,624100,1.0769230769230769
2015-11-17,7.040000,7.250000,6.510000,6.720000,6.720000,1087700,1.0074962518740629
2015-11-18,6.800000,7.010000,6.360000,6.550000,6.550000,561600,0.9924242424242424
2015-11-19,6.510000,6.784000,6.450000,6.500000,6.500000,363900,0.9643916913946587
2015-11-20,6.590000,6.740000,6.510000,6.670000,6.670000,366600,0.9881481481481481
2015-11-23,6.620000,6.959000,6.560000,6.600000,6.600000,384600,0.9141274238227146
2015-11-24,6.590000,6.820000,6.590000,6.740000,6.740000,476400,1.0135338345864662
2015-11-25,6.700000,6.840000,6.600000,6.750000,6.750000,476000,0.9574468085106383
2015-11-27,6.810000,7.410000,6.810000,7.220000,7.220000,445700,0.9769959404600812
2015-11-30,7.230000,7.285000,6.610000,6.650000,6.650000,557300,0.8364779874213837
2015-12-01,6.700000,7.140000,6.530000,7.050000,7.050000,351600,0.8980891719745223
2015-12-02,7.050000,7.460000,6.913000,7.390000,7.390000,620900,0.934260429835651
2015-12-03,7.520000,8.350000,7.520000,7.950000,7.950000,1041500,1.0231660231660233
2015-12-04,7.950000,8.035000,7.660000,7.850000,7.850000,436100,1.0181582360570687
2015-12-07,7.790000,8.370000,7.735000,7.910000,7.910000,439800,1.0449141347424042
2015-12-08,8.110000,8.110000,7.625000,7.770000,7.770000,388900,0.9885496183206106
2015-12-09,7.790000,8.035000,7.548000,7.710000,7.710000,333600,0.8472527472527472
2015-12-10,7.600000,7.830000,7.560000,7.570000,7.570000,364800,0.79768177028451
2015-12-11,7.460000,8.020000,7.460000,7.860000,7.860000,450900,0.6758383490971624
2015-12-14,7.950000,9.380000,7.830000,9.100000,9.100000,940800,0.7159716758457907
2015-12-15,9.260000,11.290000,9.160000,9.490000,9.490000,2054200,0.6906841339155749
2015-12-16,11.170000,12.170000,10.890000,11.630000,11.630000,3501200,0.8679104477611941
2015-12-17,12.850000,13.300000,11.790000,12.710000,12.710000,3608200,1.0956896551724138
2015-12-18,12.450000,13.950000,11.950000,13.740000,13.740000,3045300,1.1565656565656566
2015-12-21,14.150000,14.950000,13.130000,13.400000,13.400000,3150800,1.0992616899097623
2015-12-22,13.450000,13.650000,11.410000,11.600000,11.600000,2507000,0.9940017137960583
2015-12-23,11.950000,12.360000,11.550000,11.880000,11.880000,1104200,1.0153846153846156
2015-12-24,11.690000,12.470000,11.600000,12.190000,12.190000,385000,1.0401023890784982
2015-12-28,12.110000,12.380000,11.600000,11.670000,11.670000,637500,0.9915038232795242
2015-12-29,11.790000,12.050000,11.070000,11.700000,11.700000,626600,1.0437109723461193
2015-12-30,11.650000,12.070000,11.450000,11.720000,11.720000,317100,1.219562955254943
2015-12-31,11.760000,11.950000,11.640000,11.770000,11.770000,319100,1.153921568627451
2016-01-04,11.270000,11.490000,11.080000,11.210000,11.210000,576800,1.2171552660152007
2016-01-05,10.880000,11.000000,9.420000,9.610000,9.610000,1947000,0.9856410256410256
